timestamp_utc,run_id,elapsed_s,num_requests_running,num_requests_waiting,gpu_kv_cache_usage_fraction,num_preemptions_total,prompt_tokens_total,generation_tokens_total,request_success_total,time_to_first_token_seconds_count,time_to_first_token_seconds_sum,inter_token_latency_seconds_count,inter_token_latency_seconds_sum,e2e_request_latency_seconds_count,e2e_request_latency_seconds_sum,request_queue_time_seconds_count,request_queue_time_seconds_sum
2026-07-15T11:32:08.332337+00:00,opt13b_gpu_a100_smoke_sharegpt,0.012315511703491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:09.339553+00:00,opt13b_gpu_a100_smoke_sharegpt,1.019531488418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:10.346946+00:00,opt13b_gpu_a100_smoke_sharegpt,2.0269453525543213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:11.354407+00:00,opt13b_gpu_a100_smoke_sharegpt,3.034386396408081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:12.361688+00:00,opt13b_gpu_a100_smoke_sharegpt,4.04166841506958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:13.368722+00:00,opt13b_gpu_a100_smoke_sharegpt,5.048700332641602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:14.375937+00:00,opt13b_gpu_a100_smoke_sharegpt,6.055917263031006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:15.383188+00:00,opt13b_gpu_a100_smoke_sharegpt,7.063167095184326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:16.390227+00:00,opt13b_gpu_a100_smoke_sharegpt,8.070207118988037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15T11:32:17.397698+00:00,opt13b_gpu_a100_smoke_sharegpt,9.077677011489868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
